Position Surname Number
1123= WARDLAW 28
1123= WESTON 28
1154= ALLARDYCE 27
1154= BAYNE 27
1154= BLACKLEY 27
1154= BRAID 27
1154= BREEN 27
1154= BRESLIN 27
1154= CONN 27
1154= EDMOND 27
1154= FIRTH 27
1154= GOLD 27
1154= GOULD 27
1154= GREGORY 27
1154= GUILD 27
1154= HAGGART 27
1154= HAGGERTY 27
1154= HETHERINGTON 27
1154= HOWAT 27
1154= HUTCHEON 27
1154= LEARMONTH 27
1154= LENNIE 27
1154= LONIE 27
1154= MARSH 27
1154= MATHERS 27
1154= MCIVER 27
1154= MCLINTOCK 27
1154= MCMINN 27
1154= PEEBLES 27
1154= STOKES 27
1154= WIGHTMAN 27
1154= YEATS 27
1154= YUILL 27
1185= BLACKBURN 26
1185= BONAR 26
1185= BROUGH 26
1185= COLVILLE 26
1185= CRAIK 26
1185= CRANSTON 26
1185= DRYDEN 26
1185= FAIRWEATHER 26
1185= FERGUSSON 26
1185= FERNS 26
1185= HERBERT 26
1185= KELSO 26
1185= LETHAM 26
1185= MCATEER 26
1185= MCNAMARA 26
1185= MCQUILLAN 26
1185= MCWHIRTER 26
1185= MELLON 26
1185= METHVEN 26
1185= NICHOLLS 26
1185= O'REILLY 26
1185= OLIPHANT 26
1185= PENDER 26
1185= POWER 26
1185= RONALD 26
1185= SHARPE 26
1185= SIBBALD 26
1185= SYKES 26
1185= TRAILL 26
1185= WARNOCK 26
1185= WILLIS 26
1216= ARBUCKLE 25
1216= BARRY 25
1216= BLACKIE 25
1216= BUCKLEY 25
1216= BUTCHART 25
1216= CARNIE 25
1216= CARTY 25
1216= CAVANAGH 25
1216= CHAN 25
1216= COMRIE 25
1216= CREE 25
1216= DEAS 25
1216= DIVERS 25
1216= DONOGHUE 25
1216= DOWNS 25
1216= FALLON 25
1216= FERRIS 25
1216= FOY 25
1216= FRANCIS 25
1216= GREENAN 25
1216= GRIBBEN 25
1216= HAIR 25
1216= HOSIE 25
1216= KAUR 25
1216= LANGLANDS 25
1216= LIGHTBODY 25
1216= MCDIARMID 25
1216= PARRY 25
1216= PATTISON 25
1216= PENNY 25
1216= SANDISON 25
1216= SIME 25
1216= STEPHENSON 25
1216= TOAL 25
1216= WATKINS 25
1216= WELCH 25
1216= WHEELER 25
1216= WHITEHEAD 25
1216= WHITTON 25
1255= AHMED 24
1255= BERTRAM 24
1255= BEST 24
1255= BOWES 24
1255= BROADFOOT 24
1255= BROCK 24
1255= CATTO 24
1255= COLLIER 24
1255= CROZIER 24
1255= DANIEL 24
1255= DODD 24
1255= EWAN 24
1255= FERRY 24
1255= GARRETT 24
1255= GREENWOOD 24
1255= HOEY 24
1255= HOGGAN 24
1255= KENT 24
1255= KERRIGAN 24
1255= LAVERTY 24
1255= LEIGHTON 24
1255= LOCHHEAD 24
1255= LOUDEN 24
1255= LUKE 24
1255= MCCREADY 24
1255= MCDERMID 24
1255= MCGARRIGLE 24
1255= MCGEACHY 24
1255= MCHALE 24
1255= MCMULLEN 24
1255= MOAR 24
1255= MULGREW 24
1255= NOTMAN 24
1255= PARSONS 24
1255= PENNYCOOK 24
1255= PERT 24
1255= POLSON 24
1255= ROSIE 24
1255= SANDILANDS 24
1255= SEATON 24
1255= SNEDDEN 24
1255= TOD 24
1255= TOLMIE 24
1255= VAUGHAN 24
1255= WADE 24
1255= WARK 24
1255= WARRENDER 24
1255= WESTWOOD 24
1255= WINTER 24
1255= WONG 24
1305= AKHTAR 23
1305= BARTLETT 23
1305= BLUE 23
1305= BRIDGES 23
1305= BROWNLEE 23
1305= BURROWS 23
1305= CASSELLS 23
1305= COYNE 23
1305= DALGARNO 23
